ردیف,نام کالا,برند,قیمت فروش به ریال
3040,رولربیرینگ چرخ جلو قدیم پراید و گیربکس405 69349/10,پلاستکس,"6,731,065"
3041,توپي چرخ عقب پژو405 - پژو پارس- سمند - دنا -ABS,پلاستکس,"40,410,425"
3042,بلبرینگ چرخ عقب پیکان,پلاستکس,"10,075,725"
3043,رولربیرینگ دو سر هوزینگ پراید,پلاستکس,"6,705,765"
3044,رولربیرینگ گیربکس پراید ابتداى شفت دوم12649/10,پلاستکس,"5,417,995"
3045,رولربیرینگ گیربکس پراید انتهاى شفت دوم32204,پلاستکس,"6,027,725"
3046,رولربیرینگ شفت ورودي گیربکس پژو405 32005,پلاستکس,"6,795,580"
3047,رولربیرینگ هوزینگ تیبا/ ساینا,پلاستکس,"8,422,370"
3048,بلبرینگ گیربکس پراید انتهاى شفت اول6304-2RS/C3,پلاستکس,"3,385,140"
3049,بلبرینگ دنده4 روا ،پیکان6208/C4,پلاستکس,"7,180,140"
3050,بلبرینگ شفت اصلی عقب گیربکس پیکان و روآ,پلاستکس,"9,043,485"
3051,بلبرینگ گیربکس روا ،پیکان6305-NR/C3,پلاستکس,"7,328,145"
3052,بلبرینگ گیربکس پراید ابتداى شفت اول62/22-2RS/C3,پلاستکس,"3,407,910"
3053,بلبرینگ انتهاي میل لنگ پراید و پیکان6202-2RS,پلاستکس,"1,577,455"
3054,بلبرینگ دینامRS2-RS6202-2RS/C3,پلاستکس,"1,645,765"
3055,بلبرینگ دینامRS2-RS6203-2RS/C3,پلاستکس,"2,029,060"
3056,بلبرینگ دینامRS2-RS6303-2RS-TN/C,پلاستکس,"3,046,120"
3057,بلبرینگ دینامRS2-RS6003-2RS,پلاستکس,"1,781,120"
3058,بلبرینگ گیربکسRD NJ203ECP,پلاستکس,"7,789,870"
3059,بلبرینگ گیربکسROA NJ2203ECO,پلاستکس,"9,224,380"
3060,بلبرینگ دینام دور باال6301,پلاستکس,"1,803,890"
3061,بلبرینگ دینام6302,پلاستکس,"2,322,540"
3062,بلبرینگ ابتدا و انتهاي شفت گیربکس6322 ساینا و تیبا,پلاستکس,"4,672,910"
3063,بلبرینگ دینام6201-2RS/C3,پلاستکس,"1,442,100"
3064,توپى چرخ پژو206 تیپ5 ABS,پلاستکس,"40,410,425"
3065,توپى چرخH30 Cross,پلاستکس,"47,953,620"
3066,بلبرینگ ژامبون بزرگ داخلي پژو405,پلاستکس,"5,951,825"
3067,بلبرینگ ژامبون کوچک داخلي پژو405,پلاستکس,"4,505,930"
3068,بلبرینگ ژامبون بزرگ داخلي پژو206,پلاستکس,"5,048,615"
3069,بلبرینگ ژامبون کوچک داخلي پژو206,پلاستکس,"3,467,365"
3070,بلبرینگ ژامبون کمکی پژو405,پلاستکس,"3,918,970"
3071,پولی هرزگرد پراید,پلاستکس,"5,409,140"
3072,پولى هرزگرد پراید) یورو4,پلاستکس,"8,923,310"
3073,پولی هرزگرد پژو405,پلاستکس,"4,991,690"
3074,پولى هرزگرد پژو206 ) سوراخ كوچك (,پلاستکس,"8,882,830"
3075,پولی هرزگرد سوراخ بزرگ پژو206,پلاستکس,"7,038,460"
3076,پولى هرزگرد دینام سمندEF7 نوعA,پلاستکس,"13,917,530"
3077,پولى هرزگرد دینام سمندEF7 نوعB,پلاستکس,"12,335,015"
3078,پولى هرزگرد دینام سمندEF7 نوعC,پلاستکس,"10,166,805"
3079,پولى هرزگرد كولر شیاردار سمندEF7,پلاستکس,"8,856,265"
3080,بلبرینگ تسمه تایم پژو405,پلاستکس,"9,382,505"
3081,بلبرینگ تسمه تایم متحرك پژو206 تیپ5,پلاستکس,"16,491,805"
3082,بلبرینگ تسمه تایم پراید,پلاستکس,"9,147,215"
3083,بلبرینگ تسمه تایم تیپ2 پژو206,پلاستکس,"16,853,595"
3084,بلبرینگ تسمه تایم ثابت پژو206 تیپ5,پلاستکس,"10,663,950"
3085,بلبرینگ تسمه تایم متحرك سمندEF7,پلاستکس,"17,983,240"
3086,بلبرینگ تسمه تایم ثابت سمندEF,پلاستکس,"11,837,870"
3087,سرپلوس برلیانسABS-29TH 320/H330,امیدفنر,"41,947,400"
3088,سرپلوس کیا ریو22 خارABS,امیدفنر,"38,025,900"
3089,مشعلی گیربکس کیا ریو22 خار معمولی,امیدفنر,"38,367,450"
3090,مشعلی گیربکس تیبا20 خارABS,امیدفنر,"30,663,600"
3091,مشعلی گیربکس پژو405-34 خارABS سمت راست,امیدفنر,"59,062,850"
3092,مشعلی گیربکس پژو405-34 خارABS سمت چپ,امیدفنر,"38,380,100"
3093,مشعلی گیربکس پژو405-24 خارABS سمت راست,امیدفنر,"55,875,050"
3094,مشعلی گیربکس پژو405-24 خارABS سمت چپ,امیدفنر,"38,038,550"
3095,مشعلی گیربکس پژو405-22 خارABS سمت راست,امیدفنر,"48,765,750"
3096,مشعلی گیربکس پژو405-22 خارABS سمت چپ,امیدفنر,"36,900,050"
3097,مشعلی گیربکس پژو206 تیپ2-21 خارABS سمت راست,امیدفنر,"49,841,000"
3098,مشعلی گیربکس پژو206 تیپ2-21 خارABS سمت چپ,امیدفنر,"32,674,950"
3099,مشعلی گیربکس پژو206-22 خارABS سمت راست,امیدفنر,"52,168,600"
3100,مشعلی گیربکس پژو206-22 خارABS سمت چپ,امیدفنر,"33,168,300"
3101,مشعلی گیربکس پراید20 خارABS,امیدفنر,"30,385,300"
3102,مشعلی گیربکس پراید19 خارABS,امیدفنر,"30,625,650"
3103,مشعلی برلیانسH320/330(AT) 29 خار چپ و راست,امیدفنر,"58,986,950"
3104,مشعلی رنو ال90 ، 20 خار,امیدفنر,"38,380,100"
3105,سه شاخه پلوس پژو405 - 34 خار,امیدفنر,"6,919,550"
3106,سه شاخه پلوس پژو405 - 24 خار,امیدفنر,"6,249,100"
3107,سه شاخه پلوس پژو405 - 22 خار,امیدفنر,"5,755,750"
3108,سه شاخه پلوس پژو206 تیپ2 - 21 خار,امیدفنر,"5,262,400"
3109,سه شاخه پلوس پراید20 خار کنس کوچک,امیدفنر,"4,946,150"
3110,سه شاخه پلوس پراید19 خار,امیدفنر,"4,946,150"
3111,سرپلوس جک جی5 ABS- 30TH (خار بلند),امیدفنر,"60,517,600"
3112,سرپلوس جک جی5 ABS- 25TH (خار کوتاه),امیدفنر,"60,517,600"
3113,سرپلوس تیبا20 خارABS,امیدفنر,"26,008,400"
3114,سرپلوس پژو405 22 خارCOFCO ABS,امیدفنر,"28,804,050"
3115,سرپلوس پژو405 24 خارABS,امیدفنر,"32,232,200"
3116,سرپلوس پژو405 - 34 خارABS,امیدفنر,"36,077,800"
3117,سرپلوس پراید20 خارABS,امیدفنر,"24,756,050"
3118,سرپلوس پراید19 خار معمولی,امیدفنر,"24,288,000"
3119,سرپلوس پراید19 خارABS,امیدفنر,"24,756,050"
3120,سرپلوس برلیانسABS- 21TH 220/H230,امیدفنر,"47,171,850"
3121,سرپلوس ام وی ام ایکس33 - 25 خارABS,امیدفنر,"51,624,650"
3122,سرپلوس ال90 - 21 خارABS,امیدفنر,"33,965,250"
3123,سرپلوس206 تیپ5 ABS,امیدفنر,"32,282,800"
3124,سرپلوس206 تیپ2 21 خارABS,امیدفنر,"28,842,000"
3125,سرپلوس206 تیپ2 22 خارABS,امیدفنر,"33,320,100"
3126,پلوس کامل تیبا20 خارABS سمت راست,امیدفنر,"83,958,050"
3127,پلوس کامل تیبا20 خارABS سمت چپ,امیدفنر,"79,290,200"
3128,پلوس کامل رنو ال90، 20 خار سمت راست,امیدفنر,"110,510,400"
3129,پلوس کامل رنو ال90، 20 خار سمت چپ,امیدفنر,"92,294,400"
3130,پلوس کامل پژو 405 - 22 خار ABS سمت راست,امیدفنر,"96,519,500"
3131,پلوس کامل پژو 405 - 22 خار ABS سمت چپ,امیدفنر,"83,237,000"
3132,پلوس کامل پراید 20 خار معمولی سمت راست,امیدفنر,"71,915,250"
3133,پلوس کامل پراید 20 خار معمولی سمت چپ,امیدفنر,"79,631,750"
3134,پلوس کامل پراید 20 خار ABS سمت راست,امیدفنر,"83,477,350"
3135,پلوس کامل پراید 20 خار ABS سمت چپ,امیدفنر,"74,951,250"
3136,پلوس کامل برلیانس H220/230 21 خار ABS سمت راست,امیدفنر,"130,446,800"
3137,پلوس کامل برلیانس H220/230 21 خار ABS سمت چپ,امیدفنر,"119,922,000"
3138,پلوس کامل 206 تیپ 5 - 22 خار ABS سمت راست,امیدفنر,"94,179,250"
3139,پلوس کامل 206 تیپ 5 - 22 خار ABS سمت چپ,امیدفنر,"76,722,250"
3140,پلوس کامل 206 تیپ 2 - 22 خار ABS سمت راست,امیدفنر,"111,598,300"
3141,پلوس کامل 206 تیپ 2 - 22 خار ABS سمت چپ,امیدفنر,"94,875,000"
3142,شیر فرمان قدیم 405,امیدفنر,"75,900,000"
3143,شیر فرمان جدید 405,امیدفنر,"75,900,000"
3144,شیر فرمان 206,امیدفنر,"83,490,000"
3145,جعبه فرمان قدیم 405,امیدفنر,"253,000,000"
3146,جعبه فرمان جدید 405,امیدفنر,"253,000,000"
3147,جعبه فرمان 206,امیدفنر,"278,300,000"
3148,جعبه فرمان هیدرولیکی تیبا,امیدفنر,"253,000,000"
3149,جعبه فرمان هیدرولیکی پراید,امیدفنر,"253,000,000"
3150,کمک فرمان 405,امیدفنر,"21,505,000"
3151,اتوماتیك استارت پراید-پیكان(یوگسالوي),مجد,"20,071,295"
3152,اتوماتیك استارت پراید- نیسان(ماندو),مجد,"20,071,295"
3153,اتوماتیك استارت پژو1800 (سه پیچ دو زغاله),مجد,"19,260,890"
3154,اتوماتیك استارت پژو206,مجد,"19,260,890"
3155,اتوماتیك استارت پژو206 (چهار زغاله جدید),مجد,"19,260,890"
3156,اتوماتیك استارت پژو405 (دو پیچ چهار زغاله جدید),مجد,"19,260,890"
3157,"اتوماتیك استارت( پراید , پیكان, مزدا, تیبا)",مجد,"19,260,890"
3158,استارت پرایدمدل(valeo),مجد,"93,494,885"
3159,استارت پژو206,مجد,"93,494,885"
3160,استارت پژو405,مجد,"93,494,885"
3161,استارت پیكان,مجد,"93,494,885"
3162,استپ موتور( پژو405-سمند-پارس),مجد,"10,081,475"
3163,استپ موتور پراید-پیكان-پژو206جدید و رانا,مجد,"10,081,475"
3164,استپ موتور نیسان(L90),مجد,"10,081,475"
3165,اورینگ ترموستات پرایدEURO4,مجد,"250,010"
3166,اورینگ ترموستات پژو1800,مجد,"250,010"
3167,اورینگ ترموستات پژو206 (NBR),مجد,"250,010"
3168,اورینگ ترموستات سمندEF7,مجد,"250,010"
3169,اورینگ درب باكROA,مجد,"1,420,365"
3170,اورینگ درب باك پژو206,مجد,"1,399,205"
3171,اورینگ درب باك پژو405 ( 7 درجه),مجد,"1,348,950"
3172,اورینگ درب باك پژو405 (صفردرجه),مجد,"1,079,160"
3173,اورینگ درب پایه فیلتر روغن پژو206,مجد,"497,260"
3174,اورینگ درجه باك پراید,مجد,"1,420,365"
3175,اورینگ درجه باك پرایدEURO4 (هدپلیمري),مجد,"1,420,365"
3176,اورینگ درجه باك پیكان,مجد,"2,158,320"
3177,اورینگ درجه باك پیكان(باردو),مجد,"1,420,365"
3178,اورینگ درجه باك تیبا(هدفلزي),مجد,"1,420,365"
3179,اورینگ درجه باك سمندEF7,مجد,"1,136,085"
3180,اورینگ دور بوش پیستون پژو1800,مجد,"1,109,635"
3181,اورینگ دور بوش پیستون پژو206 (سیلیكون),مجد,"1,109,635"
3182,اورینگ سوزن انژكتور پراید زیمنس(NBR),مجد,"519,455"
3183,اورینگ سوزن انژكتور پژو206 (NBR),مجد,"519,455"
3184,اورینگ سوزن انژكتور پژو206 (viton),مجد,"3,964,855"
3185,اورینگ سوزن انژكتور پژو405 (NBR),مجد,"519,455"
3186,اورینگ سوزن انژكتور پژو405 (viton),مجد,"3,964,855"
3187,اورینگ سوزن انژكتور سمندLX NBR),مجد,"519,455"
3188,اورینگ كوركن دلكو پراید انژكتور,مجد,"353,165"
3189,اورینگ منیفولد هوا سمندEF7,مجد,"1,524,900"
3190,اورینگ منیفولد هوا پرایدEURO4 (سیلیكون),مجد,"1,553,995"
3191,اورینگ منیفولد هوا پژو206 تیپ2,مجد,"970,715"
3192,اورینگ منیفولد هوا پژو206 تیپ5,مجد,"1,248,440"
3193,اورینگ منیفولد هوا تیبا(سیلیكون),مجد,"1,588,380"
3194,اورینگ واتر پمپ پژو206 تیپ2,مجد,"621,575"
3195,اورینگ واتر پمپ پژو206 تیپ5,مجد,"533,025"
3196,اورینگ واتر پمپ سمندEF7 (ضخیم),مجد,"1,109,635"
3197,آرمیچر استارت پراید,مجد,"24,874,845"
3198,آرمیچر استارت پژو405,مجد,"24,874,845"
3199,آرمیچر استارت پیكان,مجد,"24,874,845"
3200,آرمیچر استارت نیسان,مجد,"26,403,770"
3201,آرمیچر دینام پراید(بامهره),مجد,"51,371,650"
3202,آرمیچر دینام پژو405 (مدل استام)(بامهره),مجد,"55,156,875"
3203,آفتامات چراغ پیكان( رله چراغ8 فیش),مجد,"6,320,975"
3204,آفتامات دینام(yUNYI) L90,مجد,"41,514,310"
3205,آفتامات دینامRD,مجد,"8,209,160"
3206,آفتامات دینامRD (مدل استام),مجد,"16,850,375"
3207,آفتامات دینام پرایدEURO4,مجد,"15,202,195"
3208,آفتامات دینام پرایدEURO4 (مدل ایسكرا),مجد,"21,283,050"
3209,آفتامات دینام پراید انژكتور,مجد,"8,513,220"
3210,آفتامات دینام پراید فیش باال,مجد,"13,377,950"
3211,آفتامات دینام پراید فیش بغل,مجد,"12,769,830"
3212,آفتامات دینام پراید كاربراتور,مجد,"7,993,880"
3213,آفتامات دینام پراید(مدل استام),مجد,"14,169,265"
3214,آفتامات دینام پژو2000,مجد,"15,458,185"
3215,آفتامات دینام پژو206 پیچ كوتاه(OEM),مجد,"23,043,240"
3216,آفتامات دینام پژو206 (پیچ بلند),مجد,"17,026,440"
3217,آفتامات دینام پژو206 (پیچ كوتاه),مجد,"17,026,440"
3218,آفتامات دینام پژو206 (پیچ كوتاه)(yUNYI),مجد,"36,444,420"
3219,آفتامات دینام پژو206 (مدل ایسكرا)(yUNYI),مجد,"43,485,410"
3220,آفتامات دینام پژو405 (جدید),مجد,"8,113,250"
3221,آفتامات دینام پژو پرشیایي,مجد,"13,377,950"
3222,آفتامات دینام پژو پرشیایي(yUNYI),مجد,"24,164,950"
3223,آفتامات دینام پژو پرشیایي(برعكس),مجد,"13,441,890"
3224,آفتامات دینام پژو تك پیچ,مجد,"15,810,315"
3225,آفتامات دینام پژو ماكویي,مجد,"16,802,420"
3226,آفتامات دینام پیكان,مجد,"7,361,035"
3227,آفتامات دینام تیبا فیش باال,مجد,"13,441,890"
3228,آفتامات دینام تیبا فیش بغل,مجد,"12,465,770"
3229,آفتامات دینام مدل ایسكرا( پژو1800 -RD),مجد,"21,891,170"
3230,آنتن كامل سمندEF7,مجد,"24,621,040"
3231,بازویي برف پاك كن پراید,مجد,"4,046,850"
3232,بازویي برف پاك كن پژو405- پارس(چپ),مجد,"5,020,210"
3233,بازویي برف پاك كن پژو405- پارس(راست),مجد,"5,020,210"
3234,بازویي برف پاك كن تیبا(چپ),مجد,"4,926,370"
3235,بازویي برف پاك كن تیبا(راست),مجد,"4,926,370"
3236,بازویي برف پاك كن سمند(چپ)(كوتاه),مجد,"5,020,210"
3237,بازویي برف پاك كن سمند(راست)(بلند),مجد,"5,020,210"
3238,بالشتك دینامROA - RD (مدل ایسكرا),مجد,"51,509,880"
3239,بالشتك دینام پراید انژكتور,مجد,"43,267,255"
3240,بالشتك دینام پراید كاربراتور,مجد,"43,267,255"
3241,بالشتك دینام پژو1800 (مدل استام),مجد,"45,328,630"
3242,بالشتك دینام پژو206 (مدل استام),مجد,"47,388,510"
3243,بالشتك دینام پیكان(دوبل),مجد,"36,056,065"
3244,بالشتك دینام تیبا,مجد,"51,509,880"
3245,بست اطراف باتري405,مجد,"2,346,575"
3246,بست اطراف باتري پراید,مجد,"2,346,575"
3247,بست سر باتري اهرمي,مجد,"9,147,560"
3248,بست سر باتري اهرمي(كابل شو),مجد,"9,530,165"
3249,بست كشي منبع انبساط پژو206,مجد,"360,870"
3250,بلبرینگ ژامبون پژو405 (دست كامل),مجد,"8,449,280"
3251,بوش جعبه فرمان پژو405 (قرمز),مجد,"741,980"
3252,بوش دو شاخ كالچ(بوش ته باز و ته بسته) پژو405,مجد,"1,210,145"
3253,بوش دوشاخه كالچTU5 - رانا(بهینه),مجد,"363,745"
3254,بوش دوشاخه كالچ پراید,مجد,"80,730"
3255,بوش دوشاخه كالچ پژو206 (بزرگ و كوچك),مجد,"801,435"
3256,بوش طبق جلو الستیكي پراید,مجد,"186,300"
3257,بوش كائوچویي ژامبون عقب پژو405,مجد,"570,285"
3258,بوش هاللي جعبه فرمان پژو405,مجد,"247,365"
3259,بوق پراید,مجد,"6,977,050"
3260,بوق پژو206,مجد,"12,801,800"
3261,بوق سوكتي پژو(بزرگ) (رله دار),مجد,"19,151,870"
3262,بوق سوكتي پژو(كوچك),مجد,"12,545,810"
3263,پایه آنتن(پژو-پراید),مجد,"836,510"
3264,پایه تسمه سفت كن دینام3 سوراخ پژو206,مجد,"16,577,595"
3265,پایه تسمه سفت كن دینام پژو405,مجد,"22,845,440"
3266,پایه تسمه سفت كن دینام پژوSLX,مجد,"9,212,995"
3267,پتانسیومتر دریچه گازEF7-پراید- پژو جدید زیمنس(+A),مجد,"11,521,620"
3268,پتانسیومتر دریچه گاز پراید-پیكان(ساژم),مجد,"11,521,620"
3269,پتانسیومتر دریچه گاز پرایدEURO4,مجد,"11,521,620"
3270,پتانسیومتر دریچه گاز پراید زیمنس(طرح فلش) 1806,مجد,"11,521,620"
3271,پتانسیومتر دریچه گاز پژو1800 (A+) EURO4,مجد,"12,161,710"
3272,پتانسیومتر دریچه گاز پژو1800 EURO4,مجد,"12,161,710"
3273,پتانسیومتر دریچه گاز پژو1800 ساژم,مجد,"11,521,620"
3274,پتانسیومتر دریچه گاز پژو206 (پشت فلزي),مجد,"15,362,160"
3275,پتانسیومتر دریچه گاز پژو206 (كائوچویي) +A,مجد,"15,362,160"
3276,پتانسیومتر دریچه گاز تیباEURO4,مجد,"11,521,620"
3277,پتانسیومتر دریچه گاز زیمنس,مجد,"12,161,710"
3278,پروانه فن پژو206,مجد,"2,925,600"
3279,پروانه فن پژو405 (توربو),مجد,"3,215,055"
3280,پروانه فن پیچي405,مجد,"2,915,365"
3281,پروانه فن خاري405,مجد,"2,294,250"
3282,پروانه فن دو دور پراید,مجد,"2,294,250"
3283,پمپ بنزین بیرون باك پژو405 (با صافي بنزین),مجد,"43,526,120"
3284,پمپ بنزین داخل باك پژو-پراید(مغزي پمپ بنزین),مجد,"16,594,385"
3285,پمپ بنزین داخل باك پژو206 (مغزي پمپ بنزین),مجد,"17,410,540"
3286,پمپ بنزین داخل باك سوكت جدید( پژو1800-پراید- L 90) (مغزي پمپ بنزین),مجد,"17,410,540"
3287,پمپ بنزین كامل پراید انژكتور4 فیش طرح قدیم,مجد,"68,833,020"
3288,پمپ بنزین كامل پژو(صفر درجه)(SLX),مجد,"89,481,730"
3289,پمپ بنزین كامل پژو206,مجد,"97,511,950"
3290,پمپ بنزین كامل پژو7 درجه(با رگالتور),مجد,"89,481,730"
3291,پمپ بنزین كامل پژو7 درجه(بدون رگالتور),مجد,"78,297,635"
3292,پمپ بنزین كامل پیكان باردو(بارگالتور),مجد,"89,014,715"
3293,پمپ بنزین كامل تیبا(طرح سراتو),مجد,"100,380,740"
3294,پمپ بنزین كامل تیبا پلیمري راست گرد(جدید),مجد,"88,908,570"
3295,پمپ بنزین مكانیكي پراید كاربراتور,مجد,"18,639,775"
3296,پمپ درب باك -(صندوق قدیم) پژو405,مجد,"5,676,515"
3297,پمپ درب جلو پراید(5سیم),مجد,"4,964,665"
3298,پمپ درب عقب پراید(2سیم),مجد,"4,627,485"
3299,پمپ شیشه شور پراید سیم بلند,مجد,"5,768,975"
3300,پمپ شیشه شور پژو206,مجد,"6,104,660"
3301,پمپ شیشه شور پژو405,مجد,"5,559,215"
3302,پنیون دنده كیلومتر پراید(غالف كیلومتر),مجد,"5,020,440"
3303,پنیون دنده كیلومتر پژو,مجد,"504,850"
3304,پیچ چرخ پراید,مجد,"458,275"
3305,پیچ چرخ پژو405,مجد,"612,490"
3306,پیچ رام عقب پراید,مجد,"549,930"
3307,پیچ رام موتور پراید,مجد,"645,955"
3308,پیچ سرسیلندر نیم رزوه,مجد,"1,536,285"
3309,پیچ سرسیلندرتمام رزوه,مجد,"1,536,285"
3310,پیچ طبق بلند پژو405 (با مهره),مجد,"877,220"
3311,پیچ قاب تسمه تایم پژو1800,مجد,"334,650"
3312,ترمز درب405 (قدیم),مجد,"2,843,375"
3313,ترمز درب جلو پراید,مجد,"2,922,725"
3314,ترمز درب جلو پژو206 (اسالیدي),مجد,"3,951,630"
3315,ترمز درب جلو پژو405 (اسالیدي),مجد,"3,297,050"
3316,ترمز درب جلو سمند(قدیم),مجد,"2,942,620"
3317,ترمز درب عقب پراید,مجد,"2,922,725"
3318,ترمز درب عقب سمند چپ(جدید),مجد,"4,943,505"
3319,ترمز درب عقب سمند راست(جدید),مجد,"4,943,505"
3320,ترمز درب عقب سمند(قدیم),مجد,"2,809,220"
3321,ترموستات پراید(71درجه),مجد,"4,928,785"
3322,ترموستات پراید(76 درجه),مجد,"4,928,785"
3323,ترموستات پراید(82 درجه),مجد,"4,928,785"
3324,ترموستات پژو1800 (75 درجه),مجد,"5,144,065"
3325,ترموستات پژو1800 (83 درجه),مجد,"5,144,065"
3326,ترموستات پژو206 -L90 (89 درجه),مجد,"5,144,065"
3327,ترموستات پژو206 (75/76درجه) با محفظه پلي آمیدي,مجد,"6,795,235"
3328,ترموستات پیكان(74 درجه),مجد,"4,928,785"
3329,ترموستات پیكان(78 درجه),مجد,"4,928,785"
3330,ترموستات پیكان(82 درجه),مجد,"4,928,785"
3331,ترموستات سمندEF7 (75 درجه),مجد,"5,144,065"
3332,ترموستات سمندEF7 (83 درجه),مجد,"5,144,065"
3333,ترموستات نیسان(76.5 درجه),مجد,"5,144,065"
3334,تسمه تایم107 دندانه پراید -تیبا,مجد,"11,915,955"
3335,تسمه دینامTU5 (855),مجد,"5,263,320"
3336,تسمه دینام پراید - تیبا( دنده اي10.5X900),مجد,"4,710,515"
3337,تسمه دینام پراید( منجیددارM35.2-890),مجد,"5,496,080"
3338,تسمه دینام پژو1800 (1665),مجد,"14,160,640"
3339,تسمه دینام پژو2000 -405 - كولر تیبا(945),مجد,"5,816,125"
3340,تسمه دینام پژو206 تیپ5-3 (1568),مجد,"13,335,745"
3341,تسمه دینام پژو206 تیپ5 (1575),مجد,"13,395,430"
3342,تسمه دینام پیكان( دنده اي10.5X835),مجد,"4,396,335"
3343,تسمه دینام ریو - تیبا - پراید(885),مجد,"5,446,630"
3344,تسمه دینام سمندEF7 (2364),مجد,"20,104,645"
3345,تسمه دینام مزدا(1005),مجد,"5,942,740"
3346,تسمه دینام نیسان( دنده اي10.5X925),مجد,"4,710,515"
3347,تسمه دینام نیسان( منجیدارBX39),مجد,"8,145,220"
3348,تسمه كولر پراید( منجیدارAX34),مجد,"5,496,080"
3349,تسمه كولر پژو2000 (845),مجد,"5,200,760"
3350,تسمه كولر ریو(962),مجد,"5,688,130"
3351,تسمه كولر و هیدرولیكTU5 (1253),مجد,"9,260,950"
3352,تسمه هیدرولیكROA سال(1335),مجد,"7,893,485"
3353,تسمه هیدرولیك پراید - كولر مزدا(930),مجد,"5,498,955"
3354,تقویت شیشه باالبر پراید,مجد,"3,116,155"
3355,تقویت شیشه باالبر پژو,مجد,"3,313,955"
3356,"تیغه برف پاك كن پراید - نیسان(""18""-18)",مجد,"3,803,510"
3357,"تیغه برف پاك كن پژو206 (""16""-26)",مجد,"7,961,450"
3358,"تیغه برف پاك كن پژو405 - پارس با آب پاش(""22""-22)",مجد,"6,743,485"
3359,"تیغه برف پاك كن پژو405 - پارس بدون آب پاش(""22""-22)",مجد,"5,132,680"
3360,"تیغه برف پاك كن پیكان(""16""-16)",مجد,"3,709,670"
3361,"تیغه برف پاك كن تیبا- ریو(""18""-21)",مجد,"5,132,680"
3362,"تیغه برف پاك كن سمند با آب پاش(""18""-24)",مجد,"8,055,405"
3363,"تیغه برف پاك كن عقب پژو206-كوئیك-تیبا2 (""14"")",مجد,"3,371,110"
3364,جا بلبرینگي دینام پژو(شركتي),مجد,"240,120"
